Date & Time,Source Language,Target Language,Original Text,Translated Text
06-07-2026 12:43:55,English,Urdu,hey i want to study with you ,ارے میں آپ کے ساتھ پڑھنا چاہتا ہوں۔
06-07-2026 12:43:58,English,Urdu,hey i want to study with you ,ارے میں آپ کے ساتھ پڑھنا چاہتا ہوں۔
06-07-2026 12:58:25,English,Urdu,hey mani ,ارے منی
06-07-2026 13:30:29,English,Urdu,I lvoe you lawa Brother i want to take your ,میں آپ سے پیار کرتا ہوں بھائی میں آپ کو لینا چاہتا ہوں۔
06-07-2026 13:31:00,English,Urdu,I lvoe you Zaid Brother i want to give you my long dick,میں آپ سے پیار کرتا ہوں زید بھائی میں آپ کو اپنا لمبا ڈک دینا چاہتا ہوں۔
06-07-2026 13:32:13,English,Urdu,I lvoe you Zaid Brother i want to give you my long dick,میں آپ سے پیار کرتا ہوں زید بھائی میں آپ کو اپنا لمبا ڈک دینا چاہتا ہوں۔
07-07-2026 08:52:58,English,Urdu,Hello Welcome to my new Ai translator,ہیلو میرے نئے Ai مترجم میں خوش آمدید
07-07-2026 09:10:44,English,Urdu,hello how are you ?,ہیلو آپ کیسے ہیں
07-07-2026 09:13:29,English,Arabic,hello how are you ?,مرحبا، كيف حالك ؟
08-07-2026 08:16:05,English,Urdu,Artificial intelligence transforming the world,مصنوعی ذہانت دنیا کو بدل رہی ہے۔
